,Date,MT daily cases,NC daily cases,MT daily death,NC daily death,MT cumalative cases,NC cumalative cases,MT cumalative death,NC cumalative death
0,1/22/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1/23/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1/24/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1/25/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1/26/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1/27/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1/28/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1/29/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1/30/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1/31/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2/1/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2/2/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2/3/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2/4/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2/5/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2/6/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2/7/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2/8/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2/9/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2/10/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2/11/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2/12/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2/13/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2/14/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2/15/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2/16/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2/17/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2/18/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2/19/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2/20/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2/21/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2/22/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2/23/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2/24/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2/25/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2/26/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2/27/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2/28/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2/29/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,3/1/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3/2/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3/3/2020,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
42,3/4/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,3/5/2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
