,Date,Cases,Death
0,2020-01-22,1,0
1,2020-01-23,0,0
2,2020-01-24,1,0
3,2020-01-25,0,0
4,2020-01-26,0,0
5,2020-01-27,1,0
6,2020-01-28,0,0
7,2020-01-29,1,0
8,2020-01-30,0,0
9,2020-01-31,1,0
10,2020-02-01,1,0
11,2020-02-02,0,0
12,2020-02-03,2,0
13,2020-02-04,0,0
14,2020-02-05,0,0
15,2020-02-06,0,0
16,2020-02-07,0,0
17,2020-02-08,0,0
18,2020-02-09,0,0
19,2020-02-10,0,0
20,2020-02-11,1,0
21,2020-02-12,0,0
22,2020-02-13,1,0
23,2020-02-14,0,0
24,2020-02-15,0,0
25,2020-02-16,0,0
26,2020-02-17,0,0
27,2020-02-18,1,0
28,2020-02-19,0,0
29,2020-02-20,0,0
30,2020-02-21,3,0
31,2020-02-22,0,0
32,2020-02-23,0,0
33,2020-02-24,1,0
34,2020-02-25,0,0
35,2020-02-26,2,0
36,2020-02-27,1,0
37,2020-02-28,2,0
38,2020-02-29,11,1
39,2020-03-01,6,0
40,2020-03-02,22,5
41,2020-03-03,19,1
42,2020-03-04,35,4
43,2020-03-05,66,1
44,2020-03-06,49,5
45,2020-03-07,145,3
46,2020-03-08,116,3
47,2020-03-09,259,6
48,2020-03-10,285,3
49,2020-03-11,303,6
50,2020-03-12,397,4
51,2020-03-13,580,7
52,2020-03-14,652,10
53,2020-03-15,801,7
54,2020-03-16,962,3
55,2020-03-17,1571,3
56,2020-03-18,91,3
57,2020-03-19,91,3
58,2020-03-20,91,3
59,2020-03-21,91,3
60,2020-03-22,7287,100
61,2020-03-23,10113,141
62,2020-03-24,10019,213
63,2020-03-25,14698,283
64,2020-03-26,16489,303
65,2020-03-27,17520,398
66,2020-03-28,20392,550
67,2020-03-29,18767,423
68,2020-03-30,21951,646
69,2020-03-31,23045,937
70,2020-04-01,26386,1045
71,2020-04-02,28720,1269
72,2020-04-03,35204,1347
73,2020-04-04,33680,1389
74,2020-04-05,24712,1502
75,2020-04-06,29854,1546
76,2020-04-07,30285,2161
77,2020-04-08,32614,2081
78,2020-04-09,33844,1979
79,2020-04-10,33147,2500
80,2020-04-11,31076,1750
81,2020-04-12,27254,1681
82,2020-04-13,24929,1129
83,2020-04-14,25374,3153
84,2020-04-15,30120,2446
85,2020-04-16,32550,2262
86,2020-04-17,30935,1978
87,2020-04-18,27739,1506
88,2020-04-19,25121,2523
89,2020-04-20,26493,1818
90,2020-04-21,25487,2757
91,2020-04-22,28775,2035
92,2020-04-23,31655,1815
93,2020-04-24,25036,2687
94,2020-04-25,33968,1970
95,2020-04-26,25483,1135
96,2020-04-27,22763,1382
97,2020-04-28,24106,2248
98,2020-04-29,27921,2592
99,2020-04-30,28976,2119
100,2020-05-01,33092,1813
101,2020-05-02,29972,1571
102,2020-05-03,25166,1381
103,2020-05-04,21658,995
104,2020-05-05,24122,2478
105,2020-05-06,23651,2595
106,2020-05-07,27612,2041
107,2020-05-08,27387,1666
108,2020-05-09,25578,1510
109,2020-05-10,20125,873
110,2020-05-11,17781,940
111,2020-05-12,21473,1653
112,2020-05-13,20662,1709
113,2020-05-14,26767,1783
114,2020-05-15,24907,1472
115,2020-05-16,24511,1146
116,2020-05-17,18518,792
117,2020-05-18,21636,1033
118,2020-05-19,20598,1543
119,2020-05-20,22083,1504
120,2020-05-21,25958,1345
121,2020-05-22,23359,1231
122,2020-05-23,22254,1100
123,2020-05-24,20680,651
124,2020-05-25,19081,674
125,2020-05-26,17961,667
126,2020-05-27,20047,1396
127,2020-05-28,22498,1179
128,2020-05-29,24980,1241
129,2020-05-30,22985,848
130,2020-05-31,18844,592
131,2020-06-01,21332,651
132,2020-06-02,20481,1302
133,2020-06-03,19466,996
134,2020-06-04,21775,979
135,2020-06-05,28751,1092
136,2020-06-06,22901,779
137,2020-06-07,17969,405
138,2020-06-08,16982,554
139,2020-06-09,18577,967
140,2020-06-10,20442,907
141,2020-06-11,22520,875
142,2020-06-12,25704,768
143,2020-06-13,25727,731
144,2020-06-14,20464,336
145,2020-06-15,18579,404
146,2020-06-16,24502,771
147,2020-06-17,24441,785
148,2020-06-18,27171,699
149,2020-06-19,30938,749
150,2020-06-20,31721,562
151,2020-06-21,26864,265
152,2020-06-22,29374,367
153,2020-06-23,34944,827
154,2020-06-24,35408,753
155,2020-06-25,39084,620
156,2020-06-26,45809,639
157,2020-06-27,42266,673
158,2020-06-28,39349,272
159,2020-06-29,39665,344
160,2020-06-30,46351,1271
161,2020-07-01,49488,688
162,2020-07-02,55307,669
163,2020-07-03,53836,602
164,2020-07-04,45216,233
165,2020-07-05,41552,226
166,2020-07-06,54221,386
167,2020-07-07,55555,911
168,2020-07-08,57891,841
169,2020-07-09,62893,987
170,2020-07-10,69638,829
171,2020-07-11,60568,678
172,2020-07-12,58140,459
173,2020-07-13,56891,347
174,2020-07-14,68981,914
175,2020-07-15,66156,893
176,2020-07-16,76315,905
177,2020-07-17,69354,852
