,Date,MT daily cases,NC daily cases,MT daily death,NC daily death,MT cumalative cases,NC cumalative cases,MT cumalative death,NC cumalative death
0,01/22/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,01/23/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,01/24/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,01/25/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,01/26/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,01/27/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,01/28/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,01/29/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,01/30/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,01/31/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,02/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,02/02/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,02/03/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,02/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,02/05/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,02/06/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,02/07/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,02/08/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,02/09/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,02/10/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,02/11/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,02/12/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,02/13/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,02/14/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,02/15/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,02/16/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,02/17/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,02/18/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,02/19/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,02/20/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,02/21/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,02/22/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,02/23/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,02/24/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,02/25/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,02/26/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,02/27/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,02/28/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,02/29/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,03/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,03/02/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,03/03/2020,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
42,03/04/2020,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
