Unnamed: 0,Date,MT daily cases,NC daily cases,MT daily death,NC daily death,MT cumalative cases,NC cumalative cases,MT cumalative death,NC cumalative death
376,2/1/2021,121.0,3670.0,8.0,9.0,94292.267578125,764102.75,1160.6328125,9528.0
377,2/2/2021,314.0,2926.0,15.0,67.0,94606.267578125,767028.75,1175.6328125,9595.0
378,2/3/2021,426.0,5364.25,5.0,169.0,95032.267578125,772393.0,1180.6328125,9764.0
379,2/4/2021,301.0,5484.0,5.0,150.0,95333.267578125,777877.0,1185.6328125,9914.0
380,2/5/2021,347.0,5547.0,5.0,113.0,95680.267578125,783424.0,1190.6328125,10027.0
381,2/6/2021,260.0,4172.0,5.0,85.0,95940.267578125,787596.0,1195.6328125,10112.0
382,2/7/2021,77.0,4655.0,2.0,57.0,96017.267578125,792251.0,1197.6328125,10169.0
383,2/8/2021,119.0,3103.0,5.0,8.0,96136.267578125,795354.0,1202.6328125,10177.0
384,2/9/2021,375.0,2790.0,2.0,55.0,96511.267578125,798144.0,1204.6328125,10232.0
385,2/10/2021,307.0,3833.0,6.0,135.0,96818.267578125,801977.0,1210.6328125,10367.0
386,2/11/2021,247.0,4564.0,5.0,113.0,97065.267578125,806541.0,1215.6328125,10480.0
387,2/12/2021,220.0,4139.0,4.0,83.0,97285.267578125,810680.0,1219.6328125,10563.0
388,2/13/2021,234.0,4119.0,3.0,76.0,97519.267578125,814799.0,1222.6328125,10639.0
389,2/14/2021,110.0,3178.0,5.0,40.0,97629.267578125,817977.0,1227.6328125,10679.0
390,2/15/2021,134.0,2450.0,1.0,10.0,97763.267578125,820427.0,1228.6328125,10689.0
391,2/16/2021,127.0,1999.0,3.0,60.0,97890.267578125,822426.0,1231.6328125,10749.0
392,2/17/2021,235.0,3167.0,2.0,108.0,98125.267578125,825593.0,1233.6328125,10857.0
393,2/18/2021,206.0,3918.0,3.0,96.0,98331.267578125,829511.0,1236.6328125,10953.0
394,2/19/2021,273.0,3224.0,2.0,54.0,98604.267578125,832735.0,1238.6328125,11007.0
395,2/20/2021,269.0,3436.0,1.0,76.0,98873.267578125,836171.0,1239.6328125,11083.0
396,2/21/2021,135.0,2558.0,1.0,30.0,99008.267578125,838729.0,1240.6328125,11113.0
397,2/22/2021,33.0,2118.0,2.0,8.0,99041.267578125,840847.0,1242.6328125,11121.0
398,2/23/2021,224.0,1536.0,5.0,32.0,99265.267578125,842383.0,1247.6328125,11153.0
399,2/24/2021,202.0,3335.0,2.0,108.0,99467.267578125,845718.0,1249.6328125,11261.0
400,2/25/2021,203.0,3346.0,2.0,62.0,99670.267578125,849064.0,1251.6328125,11323.0
401,2/26/2021,167.0,2926.0,4.0,49.0,99837.267578125,851990.0,1255.6328125,11372.0
402,2/27/2021,225.0,2645.0,2.0,27.0,100062.267578125,854635.0,1257.6328125,11399.0
403,2/28/2021,117.0,2130.0,1.0,38.0,100179.267578125,856765.0,1258.6328125,11437.0
