Unnamed: 0,Date,MT daily cases,NC daily cases,MT daily death,NC daily death,MT cumalative cases,NC cumalative cases,MT cumalative death,NC cumalative death
404,3/1/2021,50.0,3614.0,2.0,43.0,100229.267578125,860379.0,1260.6328125,11480.0
405,3/2/2021,155.0,1249.0,2.0,34.0,100384.267578125,861628.0,1262.6328125,11514.0
406,3/3/2021,194.0,2142.0,1.0,76.0,100578.267578125,863770.0,1263.6328125,11590.0
407,3/4/2021,178.0,2491.0,2.0,37.0,100756.267578125,866261.0,1265.6328125,11627.0
408,3/5/2021,136.0,2103.0,4.0,45.0,100892.267578125,868364.0,1269.6328125,11672.0
409,3/6/2021,181.0,2029.0,1.0,55.0,101073.267578125,870393.0,1270.6328125,11727.0
410,3/7/2021,72.0,2136.0,2.0,38.5,101145.267578125,872529.0,1272.6328125,11765.5
411,3/8/2021,44.0,2724.0,2.0,33.0,101189.267578125,875253.0,1274.6328125,11798.5
412,3/9/2021,134.0,1003.0,5.0,17.0,101323.267578125,876256.0,1279.6328125,11815.5
413,3/10/2021,148.0,1879.0,2.0,47.0,101471.267578125,878135.0,1281.6328125,11862.5
414,3/11/2021,179.0,2063.0,4.0,28.0,101650.267578125,880198.0,1285.6328125,11890.5
415,3/12/2021,133.0,2017.0,1.0,39.0,101783.267578125,882215.0,1286.6328125,11929.5
416,3/13/2021,172.0,2139.0,2.0,38.75,101955.267578125,884354.0,1288.6328125,11968.25
417,3/14/2021,52.0,4344.0,2.0,42.0,102007.267578125,888698.0,1290.6328125,12010.25
418,3/15/2021,162.0,15.0,1.0,5.0,102169.267578125,888713.0,1291.6328125,12015.25
419,3/16/2021,164.5,1098.0,3.0,14.0,102333.767578125,889811.0,1294.6328125,12029.25
420,3/17/2021,139.0,1991.0,1.0,35.0,102472.767578125,891802.0,1295.6328125,12064.25
421,3/18/2021,142.0,1992.0,9.0,26.0,102614.767578125,893794.0,1304.6328125,12090.25
422,3/19/2021,150.0,1934.0,3.0,21.0,102764.767578125,895728.0,1307.6328125,12111.25
423,3/20/2021,190.0,2015.0,6.0,16.0,102954.767578125,897743.0,1313.6328125,12127.25
424,3/21/2021,93.0,318.0,1.0,1.0,103047.767578125,898061.0,1314.6328125,12128.25
425,3/22/2021,65.0,2547.0,1.0,16.0,103112.767578125,900608.0,1315.6328125,12144.25
426,3/23/2021,149.5,1052.0,5.0,17.0,103262.267578125,901660.0,1320.6328125,12161.25
427,3/24/2021,209.0,2082.0,11.0,40.0,103471.267578125,903742.0,1331.6328125,12201.25
428,3/25/2021,170.0,2129.0,5.0,20.875,103641.267578125,905871.0,1336.6328125,12222.125
429,3/26/2021,149.0,2137.0,1.0,41.0,103790.267578125,908008.0,1337.6328125,12263.125
430,3/27/2021,118.0,1962.5,1.0,19.0,103908.267578125,909970.5,1338.6328125,12282.125
431,3/28/2021,31.0,1976.75,1.0,20.0,103939.267578125,911947.25,1339.6328125,12302.125
432,3/29/2021,38.0,1989.21875,1.0,58.0,103977.267578125,913936.46875,1340.6328125,12360.125
433,3/30/2021,156.0,1376.0,1.0,2.0,104133.267578125,915312.46875,1341.6328125,12362.125
434,3/31/2021,221.0,1929.0,1.0,25.0,104354.267578125,917241.46875,1342.6328125,12387.125
